review_id,bucket,final_label,rule,g1_source,g2_path,g3_sink,why,arbiter,guideline_rev
A0005,B4_SPOTCHECK,NO_EXFIL,N2,"GPG_PRIVATE_KEY@165, GITHUB_TOKEN@201",secrets.GPG_PRIVATE_KEY@165 -> env@165 -> gpg --batch --import@168 (cuc bo tren runner) -> KEY_ID@169-171 -> gpg --detach-sign@184 va repo-add --sign@186,-,"GPG key chi import vao keyring tren runner de ky package, khong ra mang; chi khoa CONG KHAI duoc export@174 va upload; GITHUB_TOKEN@201 -> gh release create/upload/edit@237,274,282 trong chinh repo la sink loai tru muc 2.2 (N3); git clone aur.archlinux.org@129-130 khong mang secret",nhi,v1.0
A0011,B4_SPOTCHECK,NO_EXFIL,N4,AUR_SSH_PRIVATE_KEY@27,"secrets.AUR_SSH_PRIVATE_KEY@27 -> echo ghi ra ~/.ssh/id_ed25519@27 -> git clone/push qua ssh@33,75","ssh://aur@aur.archlinux.org@33 (dich co dinh, hardcode)","khoa SSH dung de xac thuc voi AUR bang khoa cua chinh maintainer, dich hardcode khong phai bien; khoa ghi ra file tren runner khong gui di; curl@19 tai .deb tu github releases khong mang secret; ssh-keyscan@29 chi lay host key",nhi,v1.0
A0013,B3_UNCLEAR,UNCLEAR,U2,ADD_TO_PROJECT_PAT@17,secrets.ADD_TO_PROJECT_PAT@17 -> secrets: cua reusable workflow osism/.github/.github/workflows/add-to-project.yml@main@15,khong xac dinh duoc,"reusable workflow o repo khac, noi dung khong co trong Dataset A; file nay khong co step run: nao",nhi,v1.0
A0021,B3_UNCLEAR,UNCLEAR,U2,"SCCACHE_CACHE_ACCESS_KEY@56, SCCACHE_CACHE_SECRET_KEY@57, DOCKER_SECRET@67",secrets@54-57 -> with: cua ./.github/steps/setup-sccache@52 ; secrets@66-67 -> with: cua ./.github/steps/prepare-github@59,khong xac dinh duoc,"cac secret deu di vao composite action noi bo repo (.github/steps/*), noi dung action.yml khong co trong Dataset A; cac block run@73-84,93-95,165-177 chi co cmake/ctest/sccache khong cham secret; CODECOV_TOKEN@130 -> codecov-action@126 la sink loai tru muc 2.2 (N3)",nhi,v1.0
A0023,B3_UNCLEAR,UNCLEAR,U1,"BUILDBUDDY_API_KEY@278, CARGOKIT_PRIVATE_KEY@349","secrets.BUILDBUDDY_API_KEY@278 -> env@278 -> tools/scripts/write-buildbuddy-rc.sh@279 (lap lai @392,479,596,717,848) ; secrets.CARGOKIT_PRIVATE_KEY@349 + GITHUB_TOKEN@350 -> env@349-350 -> dart run bin/build_tool.dart precompile-binaries@352 (lap lai @669,808)",khong xac dinh duoc,"noi dung write-buildbuddy-rc.sh va cargokit build_tool.dart khong co trong Dataset A; cac duong con lai deu dong: GITHUB_TOKEN@1037 -> actions/checkout va GH_TOKEN@1145,1221 -> gh release create/upload@1180,1229 trong chinh repo, RELEASE_PAT@1260 -> gh pr create@1287, deu la sink loai tru muc 2.2 (N3)",nhi,v1.0
A0024,B4_SPOTCHECK,NO_EXFIL,N4,"HOMEBREW_KOLMAFIA_TOKEN@132, GITHUB_TOKEN@112",secrets.HOMEBREW_KOLMAFIA_TOKEN@132 -> header Authorization token@132 -> curl -X POST@129-133,"curl@129 -> https://api.github.com/repos/kolmafia/homebrew-kolmafia/dispatches@133 (hardcode, repo cua chinh to chuc)","token GitHub gui o header de xac thuc voi api.github.com la chu so huu, dich hardcode va la repo cung to chuc kolmafia; body@134 chi chua version tu git tag khong chua secret; GITHUB_TOKEN@112 -> softprops/action-gh-release trong chinh repo (N3)",nhi,v1.0
A0028,B3_UNCLEAR,NO_EXFIL,N4,"CARGO_REGISTRY_TOKEN@615, GITHUB_TOKEN@47","secrets.CARGO_REGISTRY_TOKEN@615 -> --token cua cargo publish@615 (lap lai @746,803,842)",cargo publish@615 -> crates.io,"token xac thuc voi dung crates.io la chu so huu; GITHUB_TOKEN@47 -> env -> scripts/wait_for_github_checks.py@65 chi doc GitHub API cua chinh repo; GITHUB_TOKEN@1068 -> softprops/action-gh-release trong chinh repo; curl@605,728,771,828 chi GET crates.io API khong mang secret; npm publish@937 dung OIDC khong co secret",nhi,v1.0
A0031,B3_UNCLEAR,UNCLEAR,U1,"ADMIN_EMAIL@17, ADMIN_PASSWORD@18",secrets@17-18 -> env cap job@15-18 -> ke thua sang moi step -> ./wctl/install.sh@50 va wctl run-test-profile@71,khong xac dinh duoc,ADMIN_EMAIL/ADMIN_PASSWORD dat o env cap job nen moi step deu ke thua; noi dung wctl/install.sh va binary wctl khong co trong Dataset A; curl@57 chi GET /health khong mang secret; upload-artifact@74 chi day log,nhi,v1.0
A0037,B3_UNCLEAR,UNCLEAR,U1,"GITCODE_TOKEN@176, GITCODE_OWNER@177, GITCODE_REPO@178, GH_TOKEN@175",secrets@175-178 -> env cua step@174-179 -> bash .github/scripts/publish-gitcode-release.sh@180,khong xac dinh duoc,"noi dung publish-gitcode-release.sh khong co trong Dataset A, day la buoc day asset sang GitCode (ben thu ba, khong phai GitHub); cac duong khac dong: APPLE_DISTRIBUTION_CERT_BASE64@52 -> base64 decode -> file@59 roi security import@65 chi ghi keychain tren runner (N2), APPSTORE_CONNECT_API_KEY@139 -> apple-actions/upload-testflight-build@134 la xac thuc voi Apple chu so huu (N4)",nhi,v1.0
A0042,B3_UNCLEAR,NO_EXFIL,N4,"SIGNING_SECRET@778, github.token@161","secrets.SIGNING_SECRET@778 -> env COSIGN_PRIVATE_KEY@778 -> cosign sign --key env://COSIGN_PRIVATE_KEY@795 (lap lai @837/842, @887/890)",cosign sign@795 -> ghcr.io/${{ github.repository_owner }} (registry chinh chu),"SIGNING_SECRET chi dung lam khoa ky cosign, chu ky day len GHCR cua chinh to chuc; github.token@161,538,632,643,650,932 -> podman/oras/cosign login ghcr.io la xac thuc voi dung dich vu so huu (N4) va la sink loai tru; GH_TOKEN@973 -> gh release create/edit@996,989 trong chinh repo (N3)",nhi,v1.0
