review_id,repo,filename,stratum,local_path,final_label,adjudication_rule,adjudication_basis,adjudication_note
A0001,vicharanashala/ajrasakha,build_and_deploy_reviewer.yml,S2_secret_only,data/raw/vicharanashala__ajrasakha__build_and_deploy_reviewer.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0002,scrapy/queuelib,tests.yml,S4_neither,data/raw/scrapy__queuelib__tests.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0003,us/crw,google-indexing.yml,S1_secret_and_sink,data/raw/us__crw__google-indexing.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0004,tsouza/cerberus,mutation.yml,S4_neither,data/raw/tsouza__cerberus__mutation.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0005,loteran/Arctis-Sound-Manager,pacman-repo.yaml,S1_secret_and_sink,data/raw/loteran__Arctis-Sound-Manager__pacman-repo.yaml,NO_EXFIL,N2,arbiter:nhi,"[N2] src=GPG_PRIVATE_KEY@165, GITHUB_TOKEN@201 | path=secrets.GPG_PRIVATE_KEY@165 -> env@165 -> gpg --batch --import@168 (cuc bo tren runner) -> KEY_ID@169-171 -> gpg --detach-sign@184 va repo-add --sign@186 | sink=- | why=GPG key chi import vao keyring tren runner de ky package, khong ra mang; chi khoa CONG KHAI duoc export@174 va upload; GITHUB_TOKEN@201 -> gh release create/upload/edit@237,274,282 trong chinh repo la sink loai tru muc 2.2 (N3); git clone aur.archlinux.org@129-130 khong mang secret | basis=arbiter:nhi | rev=v1.0"
A0006,projectbluefin/common,validate.yml,S1_secret_and_sink,data/raw/projectbluefin__common__validate.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0007,cds-snc/sre-bot,build_and_deploy.yml,S1_secret_and_sink,data/raw/cds-snc__sre-bot__build_and_deploy.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0008,neurodesk/neurocommand,dispatch-applist-update.yml,S1_secret_and_sink,data/raw/neurodesk__neurocommand__dispatch-applist-update.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0009,xfengyin/zhihu-salt-novel-downloader,release.yml,S4_neither,data/raw/xfengyin__zhihu-salt-novel-downloader__release.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0010,stablyai/orca,cloud-deploy-relay-production-same-cap.yml,S2_secret_only,data/raw/stablyai__orca__cloud-deploy-relay-production-same-cap.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0011,Juwan-Hwang/Zephyr,update-aur.yml,S1_secret_and_sink,data/raw/Juwan-Hwang__Zephyr__update-aur.yml,NO_EXFIL,N4,arbiter:nhi,"[N4] src=AUR_SSH_PRIVATE_KEY@27 | path=secrets.AUR_SSH_PRIVATE_KEY@27 -> echo ghi ra ~/.ssh/id_ed25519@27 -> git clone/push qua ssh@33,75 | sink=ssh://aur@aur.archlinux.org@33 (dich co dinh, hardcode) | why=khoa SSH dung de xac thuc voi AUR bang khoa cua chinh maintainer, dich hardcode khong phai bien; khoa ghi ra file tren runner khong gui di; curl@19 tai .deb tu github releases khong mang secret; ssh-keyscan@29 chi lay host key | basis=arbiter:nhi | rev=v1.0"
A0012,abeggled/openbridgeserver,lxc-template.yml,S1_secret_and_sink,data/raw/abeggled__openbridgeserver__lxc-template.yml,NO_EXFIL,N-AUTO,agreement,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0013,osism/openstack-image-manager,add-to-project.yml,S2_secret_only,data/raw/osism__openstack-image-manager__add-to-project.yml,UNCLEAR,U2,arbiter:nhi,"[U2] src=ADD_TO_PROJECT_PAT@17 | path=secrets.ADD_TO_PROJECT_PAT@17 -> secrets: cua reusable workflow osism/.github/.github/workflows/add-to-project.yml@main@15 | sink=khong xac dinh duoc | why=reusable workflow o repo khac, noi dung khong co trong Dataset A; file nay khong co step run: nao | basis=arbiter:nhi | rev=v1.0"
