review_id,repo,filename,stratum,secret_names,sink_families,embedded_languages,local_path,snippet_file,annotator1_label,annotator1_source,annotator1_sink,annotator1_note,annotator2_label,annotator2_source,annotator2_sink,annotator2_note,final_label,adjudication_note
A0001,vicharanashala/ajrasakha,build_and_deploy_reviewer.yml,S2_secret_only,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME|SSH_PRIVATE_KEY|TS_CLIENT_ID|TS_CLIENT_SECRET|VITE_FIREBASE_API_KEY|VITE_FIREBASE_APP_ID|VITE_FIREBASE_AUTH_DOMAIN|VITE_FIREBASE_MEASUREMENT_ID|VITE_FIREBASE_MESSAGING_SENDER_ID|VITE_FIREBASE_PROJECT_ID|VITE_FIREBASE_STORAGE_BUCKET|VITE_SARVAM_API_KEY|VITE_VAPID_PUBLIC_KEY|VM_HOST|VM_USER,,bash,data/raw/vicharanashala__ajrasakha__build_and_deploy_reviewer.yml,data/review_snippets/A0001.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0002,scrapy/queuelib,tests.yml,S4_neither,,,bash,data/raw/scrapy__queuelib__tests.yml,data/review_snippets/A0002.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0003,us/crw,google-indexing.yml,S1_secret_and_sink,GH_DISPATCH_PAT|GOOGLE_INDEXING_KEY,http_cli,bash|javascript,data/raw/us__crw__google-indexing.yml,data/review_snippets/A0003.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0004,tsouza/cerberus,mutation.yml,S4_neither,,,bash|javascript,data/raw/tsouza__cerberus__mutation.yml,data/review_snippets/A0004.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0005,loteran/Arctis-Sound-Manager,pacman-repo.yaml,S1_secret_and_sink,GITHUB_TOKEN|GPG_PRIVATE_KEY,http_cli,bash,data/raw/loteran__Arctis-Sound-Manager__pacman-repo.yaml,data/review_snippets/A0005.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N2] src=GPG_PRIVATE_KEY@165, GITHUB_TOKEN@201 | path=secrets.GPG_PRIVATE_KEY@165 -> env@165 -> gpg --batch --import@168 (cuc bo tren runner) -> KEY_ID@169-171 -> gpg --detach-sign@184 va repo-add --sign@186 | sink=- | why=GPG key chi import vao keyring tren runner de ky package, khong ra mang; chi khoa CONG KHAI duoc export@174 va upload; GITHUB_TOKEN@201 -> gh release create/upload/edit@237,274,282 trong chinh repo la sink loai tru muc 2.2 (N3); git clone aur.archlinux.org@129-130 khong mang secret | basis=arbiter:nhi | rev=v1.0"
A0006,projectbluefin/common,validate.yml,S1_secret_and_sink,,http_cli,bash,data/raw/projectbluefin__common__validate.yml,data/review_snippets/A0006.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0007,cds-snc/sre-bot,build_and_deploy.yml,S1_secret_and_sink,GEO_DB_BUCKET|GITHUB_TOKEN|LOG_ANALYTICS_WORKSPACE_ID|LOG_ANALYTICS_WORKSPACE_KEY|SLACK_SUCCESS_WEBHOOK|SLACK_WEBHOOK_URL,http_cli,bash,data/raw/cds-snc__sre-bot__build_and_deploy.yml,data/review_snippets/A0007.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0008,neurodesk/neurocommand,dispatch-applist-update.yml,S1_secret_and_sink,ACCESS_TOKEN,http_cli,bash,data/raw/neurodesk__neurocommand__dispatch-applist-update.yml,data/review_snippets/A0008.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0009,xfengyin/zhihu-salt-novel-downloader,release.yml,S4_neither,,,bash,data/raw/xfengyin__zhihu-salt-novel-downloader__release.yml,data/review_snippets/A0009.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
A0010,stablyai/orca,cloud-deploy-relay-production-same-cap.yml,S2_secret_only,,,bash|javascript,data/raw/stablyai__orca__cloud-deploy-relay-production-same-cap.yml,data/review_snippets/A0010.txt,NO_EXFIL,,,,NO_EXFIL,,,,NO_EXFIL,"[N-AUTO] src=- | path=- | sink=- | why=hai annotator dong thuan NO_EXFIL, khong thuoc dien ra soat | basis=agreement | rev=v1.0"
